,Model,Brand,Price_in_Pounds,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power *,Total Torque *,Drive,Nominal Capacity,Battery Type,Number of Cells,Architecture,Useable Capacity*,Cathode Material,Pack Configuration,Nominal Voltage,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,"Nominal Capacity							*",Electric Range,Total Power,Total Torque,City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Useable Capacity,Rated Consumption *,Rated Fuel Equivalent *,Acceleration 0 - 100 km/h *,Top Speed *
0,Tesla Model Y Long Range Dual Motor,Tesla,"52,990",5.0 sec,217 km/h,435 km,378 kW (514 PS),493 Nm,AWD,78.1 kWh,Lithium-ion,4416,400 V,75.0 kWh,NCM,96s46p,357 V,435 km,172 Wh/km,0 g/km,1.9 l/100km,533 km,No Data,141 Wh/km,No Data,1.6 l/100km,179 Wh/km,238 Wh/km,205 Wh/km,118 Wh/km,185 Wh/km,149 Wh/km,,,,,,,,,,,,,,,
1,Tesla Model 3,Tesla,"42,990",6.1 sec,225 km/h,405 km,208 kW (283 PS),420 Nm,Rear,,Lithium-ion,106,400 V,57.5 kWh,LFP,106s1p,340 V,405 km,142 Wh/km,0 g/km,1.6 l/100km,491 km,No Data,117 Wh/km,No Data,1.3 l/100km,153 Wh/km,198 Wh/km,172 Wh/km,97 Wh/km,149 Wh/km,121 Wh/km,60.0 kWh,,,,,,,,,,,,,,
2,Tesla Model 3 Long Range Dual Motor,Tesla,"50,990",4.4 sec,233 km/h,,,,AWD,78.1 kWh,Lithium-ion,4416,400 V,75.0 kWh,NCM,96s46p,357 V,,,0 g/km,,602 km,148 Wh/km,125 Wh/km,1.7 l/100km,1.4 l/100km,,,,,,,,485 km,366 kW (498 PS),493 Nm,165 Wh/km,214 Wh/km,188 Wh/km,107 Wh/km,163 Wh/km,134 Wh/km,,,,,
3,Tesla Model Y,Tesla,"44,990",6.9 sec,217 km/h,345 km,220 kW (299 PS),420 Nm,Rear,,Lithium-ion,106,400 V,57.5 kWh,LFP,106s1p,340 V,345 km,167 Wh/km,0 g/km,1.9 l/100km,430 km,No Data,134 Wh/km,No Data,1.5 l/100km,174 Wh/km,235 Wh/km,198 Wh/km,115 Wh/km,180 Wh/km,146 Wh/km,60.0 kWh,,,,,,,,,,,,,,
4,Toyota bZ4X FWD,Toyota,"45,710",7.5 sec,160 km/h,340 km,,,Front,71.4 kWh,Lithium-ion,96,400 V,,No Data,96s1p,355 V,340 km,188 Wh/km,0 g/km,2.1 l/100km,442 km,167 Wh/km,145 Wh/km,1.9 l/100km,1.6 l/100km,191 Wh/km,267 Wh/km,225 Wh/km,129 Wh/km,210 Wh/km,166 Wh/km,,,150 kW (204 PS),265 Nm,,,,,,,64.0 kWh,,,,
0,Lexus RZ 450e,Lexus,"64,500",5.6 sec,160 km/h,310 km,,,AWD,71.4 kWh,Lithium-ion,96,400 V,,No Data,96s1p,355 V,310 km,206 Wh/km,0 g/km,2.3 l/100km,,,,,,206 Wh/km,284 Wh/km,242 Wh/km,142 Wh/km,225 Wh/km,180 Wh/km,,,230 kW (313 PS),435 Nm,,,,,,,64.0 kWh,,,,
1,BYD ATTO 3,BYD,"36,490",7.3 sec,160 km/h,320 km,,,Front,60.5 kWh,Lithium-ion,126,400 V,60.0 kWh,LFP,126s1p,403 V,320 km,188 Wh/km,0 g/km,2.1 l/100km,420 km,156 Wh/km,143 Wh/km,1.8 l/100km,1.6 l/100km,185 Wh/km,261 Wh/km,218 Wh/km,125 Wh/km,207 Wh/km,162 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,,,,,
2,MG MG4 Electric 64 kWh,MG,"29,495",7.9 sec,160 km/h,370 km,,,Rear,64.0 kWh,Lithium-ion,104,400 V,,NCM,104s1p,No Data,370 km,167 Wh/km,0 g/km,1.9 l/100km,435 km,166 Wh/km,142 Wh/km,1.9 l/100km,1.6 l/100km,171 Wh/km,237 Wh/km,199 Wh/km,113 Wh/km,181 Wh/km,145 Wh/km,,,150 kW (204 PS),250 Nm,,,,,,,61.7 kWh,,,,
3,Tesla Model Y Performance,Tesla,"59,990",3.7 sec,250 km/h,415 km,393 kW (534 PS),660 Nm,AWD,78.1 kWh,Lithium-ion,4416,400 V,75.0 kWh,NCM,96s46p,357 V,415 km,181 Wh/km,0 g/km,2.0 l/100km,514 km,171 Wh/km,146 Wh/km,1.9 l/100km,1.6 l/100km,185 Wh/km,250 Wh/km,214 Wh/km,124 Wh/km,195 Wh/km,156 Wh/km,,,,,,,,,,,,,,,
4,Tesla Model S Plaid,Tesla,"115,000",2.1 sec,282 km/h,,,,AWD,,Lithium-ion,7920,400 V,95.0 kWh,NCA,110s72p,407 V,,,0 g/km,,600 km,187 Wh/km,158 Wh/km,2.1 l/100km,1.8 l/100km,,,,,,,100.0 kWh,560 km,760 kW (1033 PS),No Data,181 Wh/km,232 Wh/km,202 Wh/km,120 Wh/km,178 Wh/km,147 Wh/km,,,,,
5,BMW iX1 xDrive30,BMW,"52,255",5.6 sec,180 km/h,,,,AWD,68.0 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,,,0 g/km,,417 km,181 Wh/km,155 Wh/km,2.0 l/100km,1.7 l/100km,,,,,,,,370 km,230 kW (313 PS),494 Nm,180 Wh/km,244 Wh/km,209 Wh/km,120 Wh/km,190 Wh/km,152 Wh/km,64.7 kWh,,,,
6,BMW i4 eDrive40,BMW,"57,890",5.7 sec,190 km/h,470 km,,,Rear,83.9 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,399 V,589 km,137 Wh/km,0 g/km,1.5 l/100km,493 km,191 Wh/km,164 Wh/km,2.1 l/100km,1.8 l/100km,181 Wh/km,237 Wh/km,207 Wh/km,120 Wh/km,183 Wh/km,149 Wh/km,,,250 kW (340 PS),430 Nm,,,,,,,80.7 kWh,161 Wh/km,1.8 l/100km,,
7,BMW iX xDrive40,BMW,"69,905",6.1 sec,200 km/h,,,,AWD,76.6 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,330 V,,,0 g/km,,372 km,225 Wh/km,191 Wh/km,2.5 l/100km,2.1 l/100km,,,,,,,,360 km,240 kW (326 PS),630 Nm,203 Wh/km,273 Wh/km,233 Wh/km,138 Wh/km,215 Wh/km,175 Wh/km,71.0 kWh,,,,
